name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
Victor Gevers,victor.jpg,Corporate,,CTO office,"",false,Chief Executive Officer ,O-1,,
Marcel van der Kuil,marcel.jpg,Corporate,,CEO office,"",false,Chief Operating Officer ,O-2,O-1,
Michel Verhagen,michel.jpg,Corporate,,CEO office,"",false,Chief Public Private Partnerships,O-3,O-1,
Ahmed Ezzammouri,ahmed.jpg,Corporate,,CEO office,"",false,Chief Security Officer ,O-4,O-1,
Nigel van Maanen, nigel.jpg,Corporate,,CEO office,"",false,Chief Creative Officer,O-5,O-2,
Baran Canakci, baran.jpg,Corporate,,CEO office,"",false,Marketing,O-6,O-2,
Loek Ota, loek.jpg,Corporate,,CEO office,"",false,People and Culture,O-7,O-2,
Jared Hofman, jared.jpg,Corporate,,CEO office,"",false,Business Operations,O-8,O-2,
Luc van Kessel, luc.jpg,Corporate,,CEO office,"",false,Customer Success,O-9,O-2,
Akiko Takashima, akiko.jpg,Corporate,,CEO office,"",false,Personal Assistant,O-10,O-2,
Liam Plokkaar, liam.jpg,Corporate,,CEO office,"",false,Sales,O-10,O-2,
vacant, unknown.jpg,Corporate,,CEO office,"",false,Chief Financial Officer,O-11,O-1,
vacant, unknown.jpg,Corporate,,CEO office,"",false,Chief Technical Officer,O-12,O-1,
